rights (af),opt. low (af),opt. high (af),xi (-),alpha 1-4 (-),beta 1-4 (-),alpha 5-12 (-),beta 5-12 (-),rel. (-),crit. rel. (-),leases (#),surplus (af),cost ($),dropped (af),cost var. (-),dr. trans. ($)
32381,11708,12044,0.261979407,1.40191673,1.43830215,1.254664087,1.543947122,-0.98425,-0.998333333,6.533,13241.68788,9432854.884,37475.19965,1.137069656,249525
45537,16642,16796,0.1764921,1.816556451,1.823162646,1.320407985,1.350761019,-0.9965,-1,2.71,29593.14125,11371481.9,4046.456673,1.178842141,176870
32141,18260,18902,0.224663958,1.480680718,1.577472961,1.853460326,2.030859154,-0.9965,-1,5.812,19707.34304,10787917.16,97728.25099,1.134089252,284280
47172,3128,4898,0.193039711,1.695062799,1.782383993,1.263618837,1.340525186,-0.992833333,-0.9995,1.859,33018.89701,10971037.43,2590.697184,1.174528842,89800
60000,18311,18357,0.350356733,2.001531762,2.042917532,1.339224756,1.34262487,-0.992166667,-0.999333333,0.729,71205.08752,14576054.87,508.382938,1.097491024,0
30491,9746,9746,0.368569411,1.250594679,1.447085373,1.249122524,1.423150982,-0.988333333,-0.999166667,8.301,11358.72153,8971389.933,27902.58508,1.159952138,336075
40850,19488,20280,0.27493906,1.513394933,1.64846859,1.287951093,1.477194068,-0.99075,-0.99925,2.054,19522.16343,10739980.67,13617.37134,1.198918702,241140
30635,8926,9307,0.16949376,1.490823387,1.549790556,1.237964666,1.400740163,-0.996666667,-1,9.798,11242.30492,8956665.137,26766.57368,1.177262028,356400
34084,8121,8121,0.31504048,1.382681753,1.546582555,1.239153924,1.354077924,-0.992666667,-0.9995,8.099,11806.49199,9265886.056,19888.59149,1.176231014,349350
30080,9346,9877,0.280861895,1.412558133,1.438831474,1.020107713,1.314236799,-0.988583333,-0.999833333,8.84,9903.374825,8740514.768,19406.0663,1.178844238,334530
35100,16991,16994,0.201158295,1.454572614,1.516512099,1.040755618,1.33075568,-0.988833333,-0.999166667,4.607,12207.52439,9747082.607,16096.22901,1.176435029,306735
30080,13738,14757,0.380293614,1.460080874,1.486784793,1.020107713,1.314236799,-0.9925,-1,6.596,9788.788842,8996061.859,19270.30712,1.195200873,334530
49113,10242,10695,0.196652187,1.663319853,1.708312452,1.360986027,1.41614155,-0.9825,-0.996333333,1.552,38383.92827,11750970.67,2469.015266,1.138754027,32340
32426,8678,9195,0.239700531,1.398763331,1.416203628,1.12312914,1.32609468,-0.980083333,-0.996833333,9.149,10806.66866,9027393.197,19609.87213,1.159323554,359705
33427,16584,16996,0.224801402,1.340173544,1.537883574,1.316448949,1.904868767,-0.992666667,-0.999166667,5.015,17648.20784,10420327.22,71836.23492,1.135402675,231450
40502,20000,20432,0.226693554,1.383397147,1.65027811,1.075526061,1.347150542,-0.99225,-0.999,2.386,18570.55795,10630780.69,8049.179229,1.197679947,412675
31357,9249,9309,0.351339189,1.443562651,1.580889199,1.085126965,1.359146651,-0.996666667,-1,7.886,10758.55092,8982475.586,22180.30183,1.197114365,319725
34803,10488,11124,0.142503745,1.477086848,1.63390406,1.260449984,1.578810299,-0.997333333,-0.999916667,5.981,14400.80793,9787324.846,36145.21179,1.177322229,141705
37523,8487,9479,0.303272702,1.426237288,1.541620378,1.135184068,1.456191988,-0.985166667,-0.998416667,4.602,15011.7892,9778359.177,19475.27931,1.179201593,268950
30120,12041,12204,0.357063335,1.325292938,1.413905809,0.995529933,1.32956096,-0.985,-0.99925,5.917,9990.94407,8811220.897,19838.51064,1.177249578,332100
